No,Album Title,Artist,Genre,Submitted By,Album Cover,Ranking ,,,,Repeated Submissions,
1,The Sun's Tirade,Isaiah Rashad,Hip-Hop/Rap,Lukus,,,,,,Donuts by J Dilla ,"Lukus, Tecca"
2,Blank Face LP,Schoolboy Q,Hip-Hop/Rap,Lukus,,,,,,Discovery by Daft Punk,"Sam, Chris"
3,Elite Vessel,Lexa Gates,Hip-Hop/Rap,Lukus,,,,,,In The Court of King Crimson by King Crimson,"Dick, Grant"
4,1999,Joey Bada$$,Hip-Hop/Rap,Lukus,,,,,,Aquemini by Outkast,"Lukus, Brian"
5,Black on Both Sides,Mos Def,Hip-Hop/Rap,Lukus,,,,,,Paranoid by Black Sabbath,"Grant, Brian"
6,"Beats, Rhymes and Life",A Tribe Called Quest,Hip-Hop/Rap,Lukus,,,,,,Currents by Tame Impala,"Dick, Mike"
7,3 Feet High and Rising,De La Soul,Hip-Hop/Rap,Lukus,,,,,,Salad Days,"Chris, Mike"
8,Thee Sacred Souls,Thee Sacred Souls,R+B/Soul,Lukus,,,,,,An Evening of Silk Sonic by Silk Sonic,"Chris, Mike"
9,Aquemini,Outkast,Hip-Hop/Rap,Lukus,,,,,,The Universe Smile Upon You By Kruangbin ,"Brian, Mike"
10,It Wasn't Even Close,Your Old Droog,Hip-Hop/Rap,Lukus,,,,,,,
11,Across The Tracks,Boldy James,Hip-Hop/Rap,Lukus,,,,,,,
12,The Never Story,JID,Hip-Hop/Rap,Lukus,,,,,,,
13,Donuts,J Dilla,Hip-Hop/Rap,Lukus,,,,,,,
14,DIE FOR MY BITCH,Baby Keem,Hip-Hop/Rap,Lukus,,,,,,,
15,Seychelles,Masayoshi Takanaka,Jazz,Lukus,,,,,,,
16,No Ceilings,Lil Wayne,Hip-Hop/Rap,Chuck,,,,,,,
17,Lil Uzi Vert vs. The World,Lil Uzi Vert,Hip-Hop/Rap,Chuck,,,,,,,
18,Imperial,Denzel Curry,Hip-Hop/Rap,Chuck,,,,,,,
19,The Lost Boy,Cordae,Hip-Hop/Rap,Chuck,,,,,,,
20,Illmatic,Nas,Hip-Hop/Rap,Chuck,,,,,,,
21,Scaring the Hoes,Danny Brown and Jpegmafia,Hip-Hop/Rap,Chuck,,,,,,,
22,Mansionz 2,Mansionz,Pop,Chuck,,,,,,,
23,Watch the Thrown,Jay Z and Kanye West,Hip-Hop/Rap,Chuck,,,,,,,
24,Shremmlife,Rae Shremmurd,Hip-Hop/Rap,Chuck,,,,,,,
25,Funk Waves Volume 1,Calvin Harris,Pop,Chuck,,,,,,,
26,Long.Live.A$AP,A$AP Rocky,Hip-Hop/Rap,Chuck,,,,,,,
